Week,Matchup,Predicted Away Team Score,Predicted Home Team Score,Actual Away Team Score,Actual Home Team Score,Total Point Differential,Total Point Spread,Spread+Differential Average,Analyst,Win Score
13,JAX @ TEN,30,0,25,3,2,8,5.00,AI MODEL V2,1
13,ARI @ TB,27,30,17,20,20,0,10.00,AI MODEL V2,1
13,MIN @ SEA,21,24,0,26,19,23,21.00,AI MODEL V2,1
13,BUF @ PIT,24,17,26,7,8,12,10.00,AI MODEL V2,1
13,LV @ LAC,13,31,14,31,1,1,1.00,AI MODEL V2,1
13,DEN @ WSH,31,14,27,26,8,16,12.00,AI MODEL V2,1
13,NYG @ NE,17,24,15,33,7,11,9.00,AI MODEL V2,1
13,GB @ DET,24,21,31,24,10,4,7.00,AI MODEL V3,1
13,KC @ DAL,24,27,28,31,8,0,4.00,AI MODEL V3,1
13,CIN @ BAL,14,19,32,14,13,23,18.00,AI MODEL V3,0
13,CHI @ PHI,13,30,24,15,4,26,15.00,AI MODEL V3,0
13,NO @ MIA,17,24,17,21,3,3,3.00,AI MODEL V3,1
13,HOU @ IND,14,27,20,16,5,17,11.00,AI MODEL V3,0
13,ATL @ NYJ,45,27,24,27,21,21,21.00,AI MODEL V3,0
13,SF @ CLE,26,10,26,8,2,2,2.00,AI MODEL V3,1
13,LAR @ CAR,14,15,28,31,30,2,16.00,AI MODEL V3,1
13,JAX @ TEN,24,16,25,3,12,14,13.00,AI MODEL V3,1
13,ARI @ TB,12,7,17,20,18,8,13.00,AI MODEL V3,0
13,MIN @ SEA,20,9,0,26,3,37,20.00,AI MODEL V3,0
13,BUF @ PIT,35,15,26,7,17,1,9.00,AI MODEL V3,1
13,LV @ LAC,13,16,14,31,16,14,15.00,AI MODEL V3,1
13,DEN @ WSH,16,7,27,26,30,8,19.00,AI MODEL V3,1
13,NYG @ NE,26,27,15,33,5,17,11.00,AI MODEL V3,1
13,GB @ DET,24,34,31,24,3,17,10.00,Maldonado ESPN,0
13,KC @ DAL,20,13,28,31,26,10,18.00,Maldonado ESPN,0
13,CIN @ BAL,23,30,32,14,7,25,16.00,Maldonado ESPN,0
13,CHI @ PHI,10,35,24,15,6,34,20.00,Maldonado ESPN,0
13,NO @ MIA,13,31,17,21,6,14,10.00,Maldonado ESPN,1
13,HOU @ IND,10,22,20,16,4,16,10.00,Maldonado ESPN,0
13,ATL @ NYJ,16,13,24,27,22,6,14.00,Maldonado ESPN,0
13,SF @ CLE,21,17,26,8,4,14,9.00,Maldonado ESPN,1
13,LAR @ CAR,27,12,28,31,20,18,19.00,Maldonado ESPN,0
13,JAX @ TEN,28,27,25,3,27,21,24.00,Maldonado ESPN,1
13,ARI @ TB,17,23,17,20,3,3,3.00,Maldonado ESPN,1
13,MIN @ SEA,9,24,0,26,7,11,9.00,Maldonado ESPN,1
13,BUF @ PIT,20,24,26,7,11,23,17.00,Maldonado ESPN,0
13,LV @ LAC,10,23,14,31,12,4,8.00,Maldonado ESPN,1
13,DEN @ WSH,24,16,27,26,13,7,10.00,Maldonado ESPN,1
13,NYG @ NE,24,28,15,33,4,14,9.00,Maldonado ESPN,1
13,GB @ DET,27,30,31,24,2,10,6.00,Moody ESPN,0
13,KC @ DAL,27,23,28,31,9,7,8.00,Moody ESPN,0
13,CIN @ BAL,28,31,32,14,13,21,17.00,Moody ESPN,0
13,CHI @ PHI,21,27,24,15,9,15,12.00,Moody ESPN,0
13,NO @ MIA,14,33,17,21,9,15,12.00,Moody ESPN,1
13,HOU @ IND,19,24,20,16,7,9,8.00,Moody ESPN,0
13,ATL @ NYJ,21,17,24,27,13,7,10.00,Moody ESPN,0
13,SF @ CLE,31,16,26,8,13,3,8.00,Moody ESPN,1
13,LAR @ CAR,34,20,28,31,5,17,11.00,Moody ESPN,0
13,JAX @ TEN,25,13,25,3,10,10,10.00,Moody ESPN,1
13,ARI @ TB,27,17,17,20,7,13,10.00,Moody ESPN,0
13,MIN @ SEA,16,31,0,26,21,11,16.00,Moody ESPN,1
13,BUF @ PIT,27,26,26,7,20,18,19.00,Moody ESPN,1
13,LV @ LAC,13,24,14,31,8,6,7.00,Moody ESPN,1
13,DEN @ WSH,27,17,27,26,9,9,9.00,Moody ESPN,1
13,NYG @ NE,21,31,15,33,4,8,6.00,Moody ESPN,1
13,GB @ DET,23,17,31,24,15,1,8.00,Walder ESPN,1
13,KC @ DAL,36,28,28,31,5,11,8.00,Walder ESPN,0
13,CIN @ BAL,23,30,32,14,7,25,16.00,Walder ESPN,0
13,CHI @ PHI,20,24,24,15,5,13,9.00,Walder ESPN,0
13,NO @ MIA,20,17,17,21,1,7,4.00,Walder ESPN,0
13,HOU @ IND,17,23,20,16,4,10,7.00,Walder ESPN,0
13,ATL @ NYJ,19,16,24,27,16,6,11.00,Walder ESPN,0
13,SF @ CLE,23,7,26,8,4,2,3.00,Walder ESPN,1
13,LAR @ CAR,27,13,28,31,19,17,18.00,Walder ESPN,0
13,JAX @ TEN,24,14,25,3,10,12,11.00,Walder ESPN,1
13,ARI @ TB,16,27,17,20,6,8,7.00,Walder ESPN,1
13,MIN @ SEA,17,24,0,26,15,19,17.00,Walder ESPN,1
13,BUF @ PIT,30,10,26,7,7,1,4.00,Walder ESPN,1
13,LV @ LAC,12,26,14,31,7,3,5.00,Walder ESPN,1
13,DEN @ WSH,23,20,27,26,10,2,6.00,Walder ESPN,1
13,NYG @ NE,26,24,15,33,2,20,11.00,Walder ESPN,0
13,GB @ DET,21,26,31,24,8,12,10.00,Filice NFL,0
13,KC @ DAL,27,29,28,31,3,1,2.00,Filice NFL,1
13,CIN @ BAL,20,28,32,14,2,26,14.00,Filice NFL,0
13,CHI @ PHI,18,27,24,15,6,18,12.00,Filice NFL,0
13,NO @ MIA,14,24,17,21,0,6,3.00,Filice NFL,1
13,HOU @ IND,17,22,20,16,3,9,6.00,Filice NFL,0
13,ATL @ NYJ,14,13,24,27,24,4,14.00,Filice NFL,0
13,SF @ CLE,19,16,26,8,1,15,8.00,Filice NFL,1
13,LAR @ CAR,26,17,28,31,16,12,14.00,Filice NFL,0
13,JAX @ TEN,21,23,25,3,16,24,20.00,Filice NFL,0
13,ARI @ TB,21,25,17,20,9,1,5.00,Filice NFL,1
13,MIN @ SEA,9,27,0,26,10,8,9.00,Filice NFL,1
13,BUF @ PIT,26,24,26,7,17,17,17.00,Filice NFL,1
13,LV @ LAC,13,20,14,31,12,10,11.00,Filice NFL,1
13,DEN @ WSH,30,17,27,26,6,12,9.00,Filice NFL,1
13,NYG @ NE,23,27,15,33,2,14,8.00,Filice NFL,1
